,IPEDS_Hispanic,Program_Desc_Final
920,Hispanic,Business Administration - MBA
922,Non-Hispanic,Business Administration - MBA
925,Non-Hispanic,Business Administration - MBA
926,Non-Hispanic,Business Administration - MBA
929,Non-Hispanic,Business Administration - MBA
931,Non-Hispanic,Business Administration - MBA
932,Non-Hispanic,Business Administration - MBA
934,Non-Hispanic,Business Administration - MBA
935,Non-Hispanic,Business Administration - MBA
937,Non-Hispanic,Business Administration - MBA
938,Non-Hispanic,Business Administration - MBA
939,Non-Hispanic,Business Administration - MBA
941,Non-Hispanic,Business Administration - MBA
942,Non-Hispanic,Business Administration - MBA
944,Non-Hispanic,Business Administration - MBA
945,Non-Hispanic,Business Administration - MBA
946,Hispanic,Business Administration - MBA
948,Non-Hispanic,Business Administration - MBA
950,Non-Hispanic,Business Administration - MBA
951,Non-Hispanic,Business Administration - MBA
952,Non-Hispanic,Business Administration - MBA
954,Non-Hispanic,Business Administration - MBA
955,Non-Hispanic,Business Administration - MBA
957,Hispanic,Business Administration - MBA
958,Non-Hispanic,Business Administration - MBA
962,Non-Hispanic,Business Administration - MBA
965,Non-Hispanic,Business Administration - MBA
967,Non-Hispanic,Business Administration - MBA
969,Non-Hispanic,Business Administration - MBA
972,Non-Hispanic,Business Administration - MBA
973,Non-Hispanic,Business Administration - MBA
974,Non-Hispanic,Business Administration - MBA
977,Non-Hispanic,Business Administration - MBA
978,Non-Hispanic,Business Administration - MBA
979,Non-Hispanic,Business Administration - MBA
988,Hispanic,Business Administration - MBA
991,Non-Hispanic,Business Administration - MBA
992,Non-Hispanic,Business Administration - MBA
994,Non-Hispanic,Business Administration - MBA
996,Non-Hispanic,Business Administration - MBA
999,Non-Hispanic,Business Administration - MBA
1000,Non-Hispanic,Business Administration - MBA
1002,Non-Hispanic,Business Administration - MBA
1004,Non-Hispanic,Business Administration - MBA
1007,Non-Hispanic,Business Administration - MBA
1008,Non-Hispanic,Business Administration - MBA
1011,Non-Hispanic,Business Administration - MBA
1015,Non-Hispanic,Business Administration - MBA
1018,Non-Hispanic,Business Administration - MBA
1019,Non-Hispanic,Business Administration - MBA
1021,Non-Hispanic,Business Administration - MBA
1022,Non-Hispanic,Business Administration - MBA
1023,Non-Hispanic,Business Administration - MBA
1024,Non-Hispanic,Business Administration - MBA
1025,Non-Hispanic,Business Administration - MBA
1028,Non-Hispanic,Business Administration - MBA
1029,Non-Hispanic,Business Administration - MBA
1030,Non-Hispanic,Business Administration - MBA
1031,Non-Hispanic,Business Administration - MBA
1035,Non-Hispanic,Business Administration - MBA
1037,Non-Hispanic,Business Administration - MBA
1038,Non-Hispanic,Business Administration - MBA
1043,Non-Hispanic,Business Administration - MBA
1044,Non-Hispanic,Business Administration - MBA
1046,Non-Hispanic,Business Administration - MBA
1047,Non-Hispanic,Business Administration - MBA
1049,Non-Hispanic,Business Administration - MBA
1053,Non-Hispanic,Business Administration - MBA
1054,Non-Hispanic,Business Administration - MBA
1055,Hispanic,Business Administration - MBA
1057,Non-Hispanic,Business Administration - MBA
1058,Non-Hispanic,Business Administration - MBA
1060,Non-Hispanic,Business Administration - MBA
1063,Hispanic,Business Administration - MBA
1066,Non-Hispanic,Business Administration - MBA
1068,Non-Hispanic,Business Administration - MBA
1069,Non-Hispanic,Business Administration - MBA
1071,Non-Hispanic,Business Administration - MBA
1072,Non-Hispanic,Business Administration - MBA
1074,Non-Hispanic,Business Administration - MBA
1076,Non-Hispanic,Business Administration - MBA
1078,Non-Hispanic,Business Administration - MBA
1079,Non-Hispanic,Business Administration - MBA
1081,Non-Hispanic,Business Administration - MBA
1083,Non-Hispanic,Business Administration - MBA
1084,Non-Hispanic,Business Administration - MBA
1086,Hispanic,Business Administration - MBA
1087,Hispanic,Business Administration - MBA
1088,Non-Hispanic,Business Administration - MBA
1089,Non-Hispanic,Business Administration - MBA
1090,Non-Hispanic,Business Administration - MBA
1092,Non-Hispanic,Business Administration - MBA
1093,Non-Hispanic,Business Administration - MBA
1094,Hispanic,Business Administration - MBA
1096,Non-Hispanic,Business Administration - MBA
1097,Non-Hispanic,Business Administration - MBA
1101,Non-Hispanic,Business Administration - MBA
1103,Non-Hispanic,Business Administration - MBA
1104,Non-Hispanic,Business Administration - MBA
1108,Non-Hispanic,Business Administration - MBA
1114,Non-Hispanic,Business Administration - MBA
1115,Non-Hispanic,Business Administration - MBA
1119,Non-Hispanic,Business Administration - MBA
1122,Non-Hispanic,Business Administration - MBA
1126,Non-Hispanic,Business Administration - MBA
1127,Non-Hispanic,Business Administration - MBA
1128,Non-Hispanic,Business Administration - MBA
1129,Non-Hispanic,Business Administration - MBA
1130,Hispanic,Business Administration - MBA
1135,Non-Hispanic,Business Administration - MBA
1136,Non-Hispanic,Business Administration - MBA
1138,Non-Hispanic,Business Administration - MBA
1139,Non-Hispanic,Business Administration - MBA
1140,Non-Hispanic,Business Administration - MBA
1146,Non-Hispanic,Business Administration - MBA
1148,Non-Hispanic,Business Administration - MBA
1149,Non-Hispanic,Business Administration - MBA
1151,Non-Hispanic,Business Administration - MBA
1153,Non-Hispanic,Business Administration - MBA
1159,Non-Hispanic,Business Administration - MBA
1160,Non-Hispanic,Business Administration - MBA
1162,Non-Hispanic,Business Administration - MBA
1166,Non-Hispanic,Business Administration - MBA
1170,Non-Hispanic,Business Administration - MBA
1171,Hispanic,Business Administration - MBA
1173,Non-Hispanic,Business Administration - MBA
1174,Non-Hispanic,Business Administration - MBA
1176,Non-Hispanic,Business Administration - MBA
1177,Non-Hispanic,Business Administration - MBA
1181,Non-Hispanic,Business Administration - MBA
1184,Non-Hispanic,Business Administration - MBA
1185,Non-Hispanic,Business Administration - MBA
1187,Non-Hispanic,Business Administration - MBA
1188,Non-Hispanic,Business Administration - MBA
1189,Non-Hispanic,Business Administration - MBA
1192,Non-Hispanic,Business Administration - MBA
1195,Non-Hispanic,Business Administration - MBA
1196,Non-Hispanic,Business Administration - MBA
1198,Non-Hispanic,Business Administration - MBA
1202,Non-Hispanic,Business Administration - MBA
1208,Non-Hispanic,Business Administration - MBA
1209,Non-Hispanic,Business Administration - MBA
1210,Non-Hispanic,Business Administration - MBA
1211,Non-Hispanic,Business Administration - MBA
1213,Non-Hispanic,Business Administration - MBA
1214,Hispanic,Business Administration - MBA
1216,Non-Hispanic,Business Administration - MBA
1218,Non-Hispanic,Business Administration - MBA
1219,Non-Hispanic,Business Administration - MBA
1220,Non-Hispanic,Business Administration - MBA
1224,Non-Hispanic,Business Administration - MBA
1225,Non-Hispanic,Business Administration - MBA
